traveler_id,start_location,destination,days_stayed,budget_tier,pace,places_visited,famous_things_to_do,food_preference,restaurant,best_dish,transport_to_destination,transport_name,local_transport,rating
11,Pune,"Kolkata, West Bengal",7,Mid-Range,Relaxed,"Princep Ghat Boating, Science City, Indian Museum","Riding a heritage Kolkata tram, Tasting Roshogollas at K.C. Das",Non-Vegetarian,Kusum Kathi Rolls,Kosha Mangsho mutton with Luchi,Train,Kolkata Intercity Express,Kolkata Metro,4.5
12,Pune,"Bali, Indonesia",7,Mid-Range,Relaxed,"Kelingking Cliff Penida, Tegallalang Rice Terraces, Tirta Empul Water Temple","Riding a giant valley swing, Hiking Mount Batur at sunrise, Participating in water purification",Vegetarian,Penida Espresso,Grilled Red Snapper,Bus,Bali Intercity Express,walking,4.4
13,Tokyo,"Kolkata, West Bengal",7,Mid-Range,Moderate,"Victoria Memorial, Science City, Howrah Bridge","Riding a heritage Kolkata tram, Watching Hooghly sunset at Princep Ghat, Exploring Kumartuli clay artisan village",Mixed,Flurys British Tea Room,Mutton Biryani Kolkata Style,Bus,Kolkata Intercity Express,walking,4.9
14,Pune,"Jaipur, Rajasthan",7,Mid-Range,Fast,"Amber Fort, Hawa Mahal, Jantar Mantar, Nahargarh Fort","Traditional hand-block printing, Rajasthani folk dance evening",Local,Chokhi Dhani resort,Traditional sweet Malpua,Train,Jaipur Intercity Express,auto-rickshaw,4.6
15,Pune,"New York City, USA",7,Luxury,Moderate,"Brooklyn Bridge, High Line Park, Central Park","Renting a bicycle in Central Park, Walking across the Brooklyn Bridge",Vegetarian,Juliana's Pizza DUMBO,Adobada Tacos,Train,New York City Intercity Express,citi bike,4.5
16,Dubai,"New Delhi, Delhi NCR",7,Budget,Relaxed,"Akshardham Temple, Humayun's Tomb, India Gate memorial, Lotus Temple","Bargain shopping in Connaught Place, Rickshaw ride in Chandni Chowk lanes",Mixed,Saravana Bhavan CP,Sweet Shahi Tukda,Flight,Air France AF-1634,private taxi,5.0
17,New York,"New Delhi, Delhi NCR",7,Luxury,Fast,"Red Fort, Humayun's Tomb, Qutub Minar","Bargain shopping in Connaught Place, Tasting golgappa street foods",Non-Vegetarian,Wenger's Bakery CP,Spicy Chole Bhature,Train,New Delhi Intercity Express,Delhi Metro,4.8
18,New York,"Bali, Indonesia",7,Budget,Relaxed,"Kelingking Cliff Penida, Uluwatu Cliff Temple, Tirta Empul Water Temple","Riding a giant valley swing, Participating in water purification",Vegetarian,Sun Sun Warung Ubud,Mie Goreng,Bus,Bali Intercity Express,private taxi,4.5
19,Hyderabad,"Bali, Indonesia",7,Mid-Range,Relaxed,"Uluwatu Cliff Temple, Ubud Monkey Forest, Kelingking Cliff Penida, Tirta Empul Water Temple","Riding a giant valley swing, Sunset Kecak Fire Dance",Non-Vegetarian,Sari Organik fields,Mie Goreng,Train,Bali Intercity Express,scooter,4.3
20,New York,"Bali, Indonesia",7,Mid-Range,Moderate,"Kelingking Cliff Penida, Ubud Monkey Forest, Tegallalang Rice Terraces, Uluwatu Cliff Temple","Participating in water purification, Hiking Mount Batur at sunrise, Sunset Kecak Fire Dance",Non-Vegetarian,Penida Espresso,Grilled Red Snapper,Bus,Bali Intercity Express,private taxi,4.5
21,London,"Agra & Taj Mahal, UP",7,Mid-Range,Relaxed,"Mathura Krishna Janmabhoomi, Fatehpur Sikri, Taj Mahal, Tomb of Akbar","Watching Taj sunrise, Marble-inlay souvenir shopping, spiritual chanting at temples",Vegetarian,Brijwasi Mithai Wala,Hot Mughlai chicken rolls,Bus,Agra & Taj Mahal Intercity Express,private taxi,4.5
22,Kolkata,"Rome, Italy",7,Luxury,Fast,"Pantheon, St. Peter's Basilica, Trevi Fountain, Colosseum","Hands-on pasta making class, Cycling the Appian Way",Local,Felice a Testaccio,Cacio e Pepe pasta,Bus,Rome Intercity Express,vespa scooter,5.0
23,Dubai,"Bali, Indonesia",7,Luxury,Relaxed,"Kelingking Cliff Penida, Tegallalang Rice Terraces, Uluwatu Cliff Temple, Tirta Empul Water Temple","Sunset Kecak Fire Dance, Participating in water purification, Hiking Mount Batur at sunrise",Mixed,Penida Espresso,Nasi Goreng,Train,Bali Intercity Express,walking,4.8
24,Hyderabad,"Jaipur, Rajasthan",7,Budget,Fast,"City Palace, Jal Mahal Lake, Nahargarh Fort, Amber Fort","Bapu Bazaar leather shopping, Watching Nahargarh sunset view",Vegetarian,Chokhi Dhani resort,Pyaaz Kachori,Bus,Jaipur Intercity Express,e-rickshaw,4.5
25,San Francisco,"Tokyo, Japan",7,Budget,Fast,"Meiji Jingu Shrine, Tokyo Skytree, teamLab Planets","Experiencing teamLab digital art, Walking the Shibuya Scramble, Taking a Fuji day trip",Non-Vegetarian,Gyoza Lou Harajuku,Tonkotsu Ramen,Bus,Tokyo Intercity Express,JR train,4.8
26,Bengaluru,"Kolkata, West Bengal",7,Budget,Relaxed,"Science City, Indian Museum, Dakshineswar Kali Temple, Howrah Bridge","Taking a yellow taxi ride over Howrah Bridge, Exploring Kumartuli clay artisan village, Watching Hooghly sunset at Princep Ghat",Mixed,Kusum Kathi Rolls,Kosha Mangsho mutton with Luchi,Flight,IndiGo Airlines 6E-1056,yellow taxi,5.0
27,Kolkata,"Bali, Indonesia",7,Mid-Range,Fast,"Tirta Empul Water Temple, Kelingking Cliff Penida, Tegallalang Rice Terraces, Ubud Monkey Forest","Sunset Kecak Fire Dance, Hiking Mount Batur at sunrise, Riding a giant valley swing",Non-Vegetarian,Penida Espresso,Nasi Goreng,Flight,Air France AF-2757,scooter,4.3
28,Chennai,"Tokyo, Japan",7,Budget,Fast,"Shibuya Crossing, Tokyo Skytree, Imperial Palace East Gardens","Experiencing teamLab digital art, Taking a Fuji day trip",Vegetarian,Gyoza Lou Harajuku,Pan-fried Gyoza,Train,Tokyo Intercity Express,walking,4.5
29,Singapore,"Bali, Indonesia",7,Budget,Moderate,"Ubud Monkey Forest, Kelingking Cliff Penida, Uluwatu Cliff Temple, Tirta Empul Water Temple","Sunset Kecak Fire Dance, Participating in water purification",Local,Sun Sun Warung Ubud,Grilled Red Snapper,Train,Bali Intercity Express,walking,4.5
30,New Delhi,"New Delhi, Delhi NCR",7,Luxury,Moderate,"Red Fort, Humayun's Tomb, India Gate memorial, Akshardham Temple","Rickshaw ride in Chandni Chowk lanes, Bargain shopping in Connaught Place, Tasting golgappa street foods",Local,Karim's Old Delhi,Stuffed Mixed Paranthas,Flight,Star Peru (2I) 2I-762,e-rickshaw,4.6
31,Pune,"New York City, USA",7,Luxury,Fast,"Empire State Building, High Line Park, Brooklyn Bridge","Watching a Broadway musical, Picnicking in Bryant Park",Mixed,Joe's Pizza Times Square,Hot Pastrami Sandwich,Bus,New York City Intercity Express,subway,4.9
32,Ahmedabad,"Rome, Italy",7,Luxury,Moderate,"Pantheon, Colosseum, Spanish Steps","Walking through bohemian Trastevere, Cycling the Appian Way, Hands-on pasta making class",Local,Luzi Trattoria Colosseo,Carbonara,Flight,Air France AF-1816,metro,4.9
33,Hyderabad,"Tokyo, Japan",7,Luxury,Moderate,"teamLab Planets, Shibuya Crossing, Tokyo Skytree","Taking a Fuji day trip, Experiencing teamLab digital art, Anime shopping in Akihabara",Non-Vegetarian,Ichiran Ramen Shibuya,Yakitori Skewers,Train,Tokyo Intercity Express,walking,4.7
34,Bengaluru,"Paris, France",7,Luxury,Moderate,"Luxembourg Gardens, Sacré-Cœur Basilica, Notre-Dame Cathedral","Picnicking in Luxembourg Gardens, Boutique shopping in Marais, Seine River twilight cruise",Local,Le Comptoir du Relais,Butter Croissants,Train,Paris Intercity Express,Paris Metro,4.5
35,Tokyo,"Mumbai, Maharashtra",7,Mid-Range,Relaxed,"Chhatrapati Shivaji Terminus, Dhobi Ghat Mahalaxmi, Marine Drive Queen's Necklace","Watching Dabbawalas sort lunches, Vectoring basalt cave temples",Vegetarian,Bademiya late-night grill,Spicy Vada Pav street food,Flight,Aegean Airlines A3-2623,metered auto,4.2
36,San Francisco,"Jaipur, Rajasthan",7,Luxury,Relaxed,"Nahargarh Fort, Hawa Mahal, Jantar Mantar, Jal Mahal Lake","Bapu Bazaar leather shopping, Royal fort trekking, Rajasthani folk dance evening",Mixed,LMB Restaurant Johri,Pyaaz Kachori,Flight,American Airlines AA-569,auto-rickshaw,4.4
37,Bengaluru,"Paris, France",7,Budget,Relaxed,"Sacré-Cœur Basilica, Luxembourg Gardens, Palace of Versailles","Picnicking in Luxembourg Gardens, Boutique shopping in Marais, Climbing the Eiffel Tower summit",Vegetarian,L'As du Fallafel,Gourmet Falafel Pita,Train,Paris Intercity Express,Paris Metro,4.8
38,New Delhi,"Mumbai, Maharashtra",7,Luxury,Fast,"Haji Ali ocean mosque, Gateway of India, Elephanta Island Caves, Dhobi Ghat Mahalaxmi","Watching Dabbawalas sort lunches, Renting bicycles in forest, Ferry ride across harbor",Local,Bademiya late-night grill,Butter Garlic Crab,Train,Mumbai Intercity Express,walking,4.2
39,Kolkata,"Rome, Italy",7,Budget,Fast,"Colosseum, St. Peter's Basilica, Pantheon, Trevi Fountain","Cycling the Appian Way, Hands-on pasta making class, Walking through bohemian Trastevere",Mixed,Luzi Trattoria Colosseo,Carbonara,Train,Rome Intercity Express,walking,4.8
40,New York,"Agra & Taj Mahal, UP",7,Luxury,Relaxed,"Mathura Krishna Janmabhoomi, Fatehpur Sikri, Agra Fort","Watching Taj sunrise, spiritual chanting at temples, Marble-inlay souvenir shopping",Local,Esphahan Oberoi,Dal Makhani with naans,Flight,Azul AD-854,walking,4.6
41,San Francisco,"Paris, France",7,Budget,Moderate,"Palace of Versailles, Luxembourg Gardens, Notre-Dame Cathedral, Louvre Museum","Boutique shopping in Marais, Seine River twilight cruise",Non-Vegetarian,La Maison Rose Montmartre,Butter Croissants,Bus,Paris Intercity Express,velib bicycle,4.3
42,Bengaluru,"Kolkata, West Bengal",7,Luxury,Relaxed,"Victoria Memorial, Indian Museum, Howrah Bridge","Exploring Kumartuli clay artisan village, Riding a heritage Kolkata tram, Watching Hooghly sunset at Princep Ghat",Non-Vegetarian,6 Ballygunge Place Bengali,Mishti Doi and Sandesh desserts,Bus,Kolkata Intercity Express,walking,4.9
43,New York,"New Delhi, Delhi NCR",7,Budget,Moderate,"Akshardham Temple, Humayun's Tomb, India Gate memorial","Bargain shopping in Connaught Place, Exploring heritage Lodhi gardens, Rickshaw ride in Chandni Chowk lanes",Non-Vegetarian,Karim's Old Delhi,Spicy Chole Bhature,Train,New Delhi Intercity Express,e-rickshaw,5.0
44,Dubai,"Tokyo, Japan",7,Budget,Fast,"teamLab Planets, Tokyo Skytree, Shibuya Crossing","Anime shopping in Akihabara, Walking the Shibuya Scramble",Non-Vegetarian,Gyoza Lou Harajuku,Pan-fried Gyoza,Train,Tokyo Intercity Express,walking,4.6
45,Bengaluru,"Kolkata, West Bengal",7,Mid-Range,Fast,"Dakshineswar Kali Temple, Princep Ghat Boating, Science City, Howrah Bridge","Riding a heritage Kolkata tram, Watching Hooghly sunset at Princep Ghat, Tasting Roshogollas at K.C. Das",Local,Arsalan Mughlai Restaurant,Kosha Mangsho mutton with Luchi,Bus,Kolkata Intercity Express,Kolkata Metro,4.8
46,Chennai,"New Delhi, Delhi NCR",7,Luxury,Moderate,"India Gate memorial, Humayun's Tomb, Akshardham Temple","Rickshaw ride in Chandni Chowk lanes, Bargain shopping in Connaught Place",Non-Vegetarian,Paranthe Wali Gali,Sweet Shahi Tukda,Train,New Delhi Intercity Express,auto-rickshaw,4.6
47,Hyderabad,"Bali, Indonesia",7,Budget,Moderate,"Tirta Empul Water Temple, Ubud Monkey Forest, Uluwatu Cliff Temple, Tegallalang Rice Terraces","Participating in water purification, Sunset Kecak Fire Dance",Local,Jimbaran Beach Club,Gourmet Smoothie Bowl,Bus,Bali Intercity Express,private taxi,4.3
48,Hyderabad,"Bali, Indonesia",7,Mid-Range,Relaxed,"Kelingking Cliff Penida, Ubud Monkey Forest, Tegallalang Rice Terraces, Uluwatu Cliff Temple","Participating in water purification, Sunset Kecak Fire Dance, Hiking Mount Batur at sunrise",Non-Vegetarian,Jimbaran Beach Club,Nasi Campur Balinese,Bus,Bali Intercity Express,private taxi,4.2
49,San Francisco,"Mumbai, Maharashtra",7,Budget,Relaxed,"Gateway of India, Haji Ali ocean mosque, Elephanta Island Caves","Ferry ride across harbor, Vectoring basalt cave temples, Renting bicycles in forest",Vegetarian,Swati Snacks vegetarian,Keema Pav platter,Flight,Insel Air (7I/INC) (Priv) 7I-2311,local train,4.7
50,Pune,"Rome, Italy",7,Mid-Range,Moderate,"Pantheon, Trevi Fountain, St. Peter's Basilica","Cycling the Appian Way, Walking through bohemian Trastevere, Hands-on pasta making class",Mixed,Da Enzo al 29 Trastevere,Carbonara,Bus,Rome Intercity Express,vespa scooter,4.6
51,Mumbai,"Jaipur, Rajasthan",7,Mid-Range,Fast,"Jal Mahal Lake, Jantar Mantar, Hawa Mahal, Amber Fort","Bapu Bazaar leather shopping, Traditional hand-block printing",Vegetarian,Caffe Palladio,Dal Baati Churma Rajasthani,Train,Jaipur Intercity Express,auto-rickshaw,4.9
52,Paris,"Agra & Taj Mahal, UP",7,Mid-Range,Fast,"Tomb of Akbar, Mathura Krishna Janmabhoomi, Fatehpur Sikri, Agra Fort","spiritual chanting at temples, Watching Taj sunrise, Marble-inlay souvenir shopping",Mixed,Sheroes Hangout,Butter Chicken,Flight,Air France AF-1641,auto-rickshaw,4.6
53,Paris,"Bali, Indonesia",7,Luxury,Fast,"Uluwatu Cliff Temple, Tirta Empul Water Temple, Ubud Monkey Forest, Kelingking Cliff Penida","Riding a giant valley swing, Hiking Mount Batur at sunrise, Participating in water purification",Vegetarian,Jimbaran Beach Club,Nasi Goreng,Train,Bali Intercity Express,private taxi,4.5
54,Mumbai,"Tokyo, Japan",7,Budget,Fast,"teamLab Planets, Senso-ji Temple, Meiji Jingu Shrine, Shibuya Crossing","Taking a Fuji day trip, Walking the Shibuya Scramble",Local,Omoide Yokocho street stalls,Fatty Tuna Sushi,Bus,Tokyo Intercity Express,JR train,5.0
55,Pune,"Paris, France",7,Luxury,Relaxed,"Eiffel Tower, Luxembourg Gardens, Sacré-Cœur Basilica, Palace of Versailles","Seine River twilight cruise, Boutique shopping in Marais, Climbing the Eiffel Tower summit",Vegetarian,La Maison Rose Montmartre,Gourmet Falafel Pita,Flight,Air France AF-2398,RER train,4.5
56,Hyderabad,"Agra & Taj Mahal, UP",7,Mid-Range,Fast,"Fatehpur Sikri, Taj Mahal, Tomb of Akbar","Exploring massive red-stone forts, Watching Taj sunrise",Vegetarian,Brijwasi Mithai Wala,Butter Chicken,Bus,Agra & Taj Mahal Intercity Express,e-rickshaw,4.9
57,Dubai,"Paris, France",7,Mid-Range,Relaxed,"Notre-Dame Cathedral, Eiffel Tower, Louvre Museum","Climbing the Eiffel Tower summit, Boutique shopping in Marais",Mixed,Le Comptoir du Relais,Butter Croissants,Flight,Air France AF-543,velib bicycle,4.5
58,Kolkata,"Agra & Taj Mahal, UP",7,Luxury,Relaxed,"Mathura Krishna Janmabhoomi, Mehtab Bagh sunset, Tomb of Akbar, Fatehpur Sikri","spiritual chanting at temples, Exploring massive red-stone forts",Vegetarian,Pinch of Spice,Brijwasi Milk Peda,Bus,Agra & Taj Mahal Intercity Express,auto-rickshaw,4.8
59,Tokyo,"New Delhi, Delhi NCR",7,Budget,Relaxed,"Lotus Temple, Akshardham Temple, Qutub Minar","Exploring heritage Lodhi gardens, Tasting golgappa street foods",Local,Paranthe Wali Gali,Stuffed Mixed Paranthas,Bus,New Delhi Intercity Express,Delhi Metro,4.3
60,New Delhi,"New York City, USA",7,Mid-Range,Fast,"Times Square, Statue of Liberty, Empire State Building","Renting a bicycle in Central Park, Picnicking in Bryant Park, Watching a Broadway musical",Vegetarian,Juliana's Pizza DUMBO,Classic New York Street Slice,Train,New York City Intercity Express,walking,4.9
61,New York,"Jaipur, Rajasthan",7,Budget,Moderate,"Nahargarh Fort, Jantar Mantar, Jal Mahal Lake, Amber Fort","Traditional hand-block printing, Watching Nahargarh sunset view, Rajasthani folk dance evening",Local,Chokhi Dhani resort,Traditional sweet Malpua,Bus,Jaipur Intercity Express,private taxi,4.9
62,New Delhi,"Kolkata, West Bengal",7,Luxury,Relaxed,"Victoria Memorial, Science City, Howrah Bridge","Taking a yellow taxi ride over Howrah Bridge, Riding a heritage Kolkata tram",Vegetarian,6 Ballygunge Place Bengali,Mutton Biryani Kolkata Style,Bus,Kolkata Intercity Express,yellow taxi,4.4
63,Singapore,"Jaipur, Rajasthan",7,Mid-Range,Fast,"Jantar Mantar, Jal Mahal Lake, City Palace","Bapu Bazaar leather shopping, Traditional hand-block printing",Non-Vegetarian,LMB Restaurant Johri,Lal Maas spicy mutton,Flight,Sichuan Airlines 3U-2736,private taxi,4.5
64,New York,"Agra & Taj Mahal, UP",7,Luxury,Fast,"Taj Mahal, Fatehpur Sikri, Agra Fort","Exploring massive red-stone forts, Marble-inlay souvenir shopping, Watching Taj sunrise",Non-Vegetarian,Esphahan Oberoi,Dal Makhani with naans,Train,Agra & Taj Mahal Intercity Express,walking,4.6
65,Paris,"Tokyo, Japan",7,Luxury,Fast,"Senso-ji Temple, Shibuya Crossing, Meiji Jingu Shrine","Taking a Fuji day trip, Experiencing teamLab digital art",Local,Ichiran Ramen Shibuya,Yakitori Skewers,Train,Tokyo Intercity Express,walking,4.6
66,Paris,"Mumbai, Maharashtra",7,Budget,Relaxed,"Gateway of India, Dhobi Ghat Mahalaxmi, Chhatrapati Shivaji Terminus, Haji Ali ocean mosque","Watching Dabbawalas sort lunches, Vectoring basalt cave temples",Non-Vegetarian,Leopold Cafe Colaba,Sev Puri / Bhel Puri snacks,Flight,American Airlines AA-1661,yellow-black taxi,4.9
67,Bengaluru,"Jaipur, Rajasthan",7,Mid-Range,Relaxed,"Jantar Mantar, Hawa Mahal, Nahargarh Fort","Traditional hand-block printing, Bapu Bazaar leather shopping",Mixed,Tapri The Tea House,Dal Baati Churma Rajasthani,Bus,Jaipur Intercity Express,private taxi,4.4
68,Tokyo,"Agra & Taj Mahal, UP",7,Mid-Range,Fast,"Mehtab Bagh sunset, Mathura Krishna Janmabhoomi, Tomb of Akbar","Watching Taj sunrise, Exploring massive red-stone forts, Marble-inlay souvenir shopping",Mixed,Pinch of Spice,Dal Makhani with naans,Bus,Agra & Taj Mahal Intercity Express,walking,4.9
69,Singapore,"Mumbai, Maharashtra",7,Budget,Relaxed,"Dhobi Ghat Mahalaxmi, Gateway of India, Haji Ali ocean mosque, Elephanta Island Caves","Ferry ride across harbor, Renting bicycles in forest",Mixed,Bademiya late-night grill,Berry Pulav Parsi style,Train,Mumbai Intercity Express,walking,5.0
70,Mumbai,"Rome, Italy",7,Luxury,Fast,"Spanish Steps, St. Peter's Basilica, Colosseum","Throwing coins in Trevi Fountain, Cycling the Appian Way",Mixed,Pizzeria Da Baffetto,Thin Roman-style Pizza,Train,Rome Intercity Express,metro,4.8
71,San Francisco,"Mumbai, Maharashtra",7,Budget,Moderate,"Haji Ali ocean mosque, Dhobi Ghat Mahalaxmi, Elephanta Island Caves, Gateway of India","Watching Dabbawalas sort lunches, Vectoring basalt cave temples, Renting bicycles in forest",Local,Swati Snacks vegetarian,Keema Pav platter,Train,Mumbai Intercity Express,yellow-black taxi,4.6
72,Hyderabad,"Bali, Indonesia",7,Budget,Relaxed,"Uluwatu Cliff Temple, Tirta Empul Water Temple, Kelingking Cliff Penida","Sunset Kecak Fire Dance, Hiking Mount Batur at sunrise, Participating in water purification",Non-Vegetarian,Penida Espresso,Grilled Red Snapper,Bus,Bali Intercity Express,fast speedboat,4.4
73,Chennai,"Rome, Italy",7,Budget,Relaxed,"St. Peter's Basilica, Pantheon, Spanish Steps, Vatican Museums","Cycling the Appian Way, Walking through bohemian Trastevere",Non-Vegetarian,Pizzeria Da Baffetto,Artisanal Gelato,Train,Rome Intercity Express,vespa scooter,4.5
74,Mumbai,"Mumbai, Maharashtra",7,Luxury,Relaxed,"Chhatrapati Shivaji Terminus, Haji Ali ocean mosque, Gateway of India","Watching Dabbawalas sort lunches, Vectoring basalt cave temples, Ferry ride across harbor",Mixed,Trishna seafood diner,Sev Puri / Bhel Puri snacks,Bus,Mumbai Intercity Express,yellow-black taxi,4.9
75,San Francisco,"Agra & Taj Mahal, UP",7,Luxury,Relaxed,"Mathura Krishna Janmabhoomi, Tomb of Akbar, Fatehpur Sikri, Agra Fort","spiritual chanting at temples, Exploring massive red-stone forts",Mixed,Esphahan Oberoi,Brijwasi Milk Peda,Bus,Agra & Taj Mahal Intercity Express,walking,4.8
76,London,"New Delhi, Delhi NCR",7,Mid-Range,Fast,"Red Fort, Humayun's Tomb, India Gate memorial, Akshardham Temple","Bargain shopping in Connaught Place, Rickshaw ride in Chandni Chowk lanes, Exploring heritage Lodhi gardens",Non-Vegetarian,Paranthe Wali Gali,Spicy Chole Bhature,Bus,New Delhi Intercity Express,Delhi Metro,4.5
77,Kolkata,"Tokyo, Japan",7,Mid-Range,Moderate,"Senso-ji Temple, Shibuya Crossing, Tokyo Skytree, Meiji Jingu Shrine","Anime shopping in Akihabara, Taking a Fuji day trip",Vegetarian,Daiwa Sushi Tsukiji,Tonkotsu Ramen,Flight,Jet Airways 9W-421,subway,4.2
78,New York,"New York City, USA",7,Luxury,Relaxed,"Brooklyn Bridge, Empire State Building, High Line Park","Picnicking in Bryant Park, Watching a Broadway musical, Renting a bicycle in Central Park",Non-Vegetarian,Los Tacos No. 1 Chelsea,Hot Pastrami Sandwich,Flight,Cape Air 9K-699,subway,4.6
79,Pune,"Jaipur, Rajasthan",7,Mid-Range,Relaxed,"Hawa Mahal, Amber Fort, Nahargarh Fort, City Palace","Rajasthani folk dance evening, Traditional hand-block printing",Mixed,Saffron Mughlai diner,Lal Maas spicy mutton,Flight,American Airlines AA-2173,scooter,4.5
80,Bengaluru,"Tokyo, Japan",7,Luxury,Relaxed,"teamLab Planets, Imperial Palace East Gardens, Meiji Jingu Shrine","Taking a Fuji day trip, Experiencing teamLab digital art, Anime shopping in Akihabara",Vegetarian,Omoide Yokocho street stalls,Yakitori Skewers,Train,Tokyo Intercity Express,subway,4.4
81,Tokyo,"Paris, France",7,Budget,Fast,"Palace of Versailles, Sacré-Cœur Basilica, Louvre Museum, Luxembourg Gardens","Boutique shopping in Marais, Climbing the Eiffel Tower summit",Mixed,Le Comptoir du Relais,Gourmet Falafel Pita,Flight,Fly Colombia ( Interliging Flights ) 3F-2088,RER train,4.2
82,Paris,"Jaipur, Rajasthan",7,Budget,Moderate,"Amber Fort, Jal Mahal Lake, Hawa Mahal, Nahargarh Fort","Traditional hand-block printing, Royal fort trekking, Watching Nahargarh sunset view",Mixed,Caffe Palladio,Dal Baati Churma Rajasthani,Bus,Jaipur Intercity Express,scooter,4.9
83,Pune,"New York City, USA",7,Budget,Relaxed,"High Line Park, Statue of Liberty, Empire State Building, Brooklyn Bridge","Picnicking in Bryant Park, Watching a Broadway musical",Non-Vegetarian,Katz's Delicatessen,Adobada Tacos,Train,New York City Intercity Express,yellow taxi,4.3
84,Tokyo,"Bali, Indonesia",7,Mid-Range,Relaxed,"Kelingking Cliff Penida, Tirta Empul Water Temple, Ubud Monkey Forest, Uluwatu Cliff Temple","Sunset Kecak Fire Dance, Hiking Mount Batur at sunrise",Non-Vegetarian,Sun Sun Warung Ubud,Gourmet Smoothie Bowl,Flight,Era Alaska 7H-2099,private taxi,4.5
85,Dubai,"New York City, USA",7,Mid-Range,Moderate,"Central Park, Empire State Building, Times Square, High Line Park","Watching a Broadway musical, Renting a bicycle in Central Park, Picnicking in Bryant Park",Non-Vegetarian,Juliana's Pizza DUMBO,Adobada Tacos,Train,New York City Intercity Express,yellow taxi,4.4
86,New Delhi,"Kolkata, West Bengal",7,Luxury,Moderate,"Indian Museum, Princep Ghat Boating, Victoria Memorial, Howrah Bridge","Taking a yellow taxi ride over Howrah Bridge, Watching Hooghly sunset at Princep Ghat, Exploring Kumartuli clay artisan village",Vegetarian,6 Ballygunge Place Bengali,Chelomesh mixed platter,Flight,SATENA 9R-1472,yellow taxi,4.9
